/カウンタ,移動パターン,敵の種類,x座標,y座標,スピード,発射時間,弾幕種類,弾の色,体力,弾種類,待機時間,アイテム1,2,3,4,5,6
/cnt,pattern,knd,x座標,y座標,sp,bltime,blknd,col,hp,blknd2,wait,item_n[0],,,,,
100,0,0,50,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
110,0,0,80,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
120,0,0,110,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
130,0,0,140,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
140,0,0,170,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
150,0,0,200,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
160,0,0,230,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
170,0,0,260,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
180,0,0,290,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
190,0,0,320,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
